subset,gene,logFC,pct_AML,pct_HBM
GZMB NK,FBXO6,0.02847667,0.14908256880733944,0.11778563015312132
GZMB NK,MAD2L2,-0.017245263,0.15825688073394495,0.15429917550058891
GZMB NK,AGTRAP,-0.23078427,0.23623853211009174,0.3380447585394582
GZMB NK,MTHFR,0.0073034987,0.0481651376146789,0.04240282685512368
GZMB NK,AL021155.5,0.030257791,0.052752293577981654,0.03651354534746761
GZMB NK,KIAA2013,-0.028815433,0.13073394495412843,0.14016489988221437
GZMB NK,MFN2,-0.015152432,0.03669724770642202,0.04240282685512368
GZMB NK,MIIP,0.016430214,0.09174311926605505,0.07891637220259129
GZMB NK,TNFRSF1B,0.060851038,0.3738532110091743,0.3250883392226148
GZMB NK,VPS13D,0.116377965,0.13073394495412843,0.06478209658421673
GZMB NK,DHRS3,-0.06250246,0.10550458715596331,0.12956419316843346
GZMB NK,PRDM2,0.06371951,0.18577981651376146,0.143698468786808
GZMB NK,EFHD2,-0.57509756,0.7568807339449541,0.8881036513545347
GZMB NK,DNAJC16,0.020952359,0.0389908256880734,0.028268551236749116
GZMB NK,DDI2,0.0523756,0.06422018348623854,0.03415783274440518
GZMB NK,PLEKHM2,0.019405752,0.06422018348623854,0.05418138987043581
GZMB NK,AL450998.2,0.042955793,0.05504587155963303,0.028268551236749116
GZMB NK,SPEN,0.07375574,0.24541284403669725,0.20848056537102475
GZMB NK,ZBTB17,-0.015444174,0.045871559633027525,0.045936395759717315
GZMB NK,FBXO42,0.034769148,0.09174311926605505,0.06713780918727916
GZMB NK,SZRD1,0.0088171065,0.1559633027522936,0.13663133097762073
GZMB NK,NECAP2,0.019059002,0.1353211009174312,0.11778563015312132
GZMB NK,NBPF1,-0.035650223,0.020642201834862386,0.03651354534746761
GZMB NK,CROCC,0.027356207,0.05963302752293578,0.043580683156654886
GZMB NK,ATP13A2,0.05720154,0.06192660550458716,0.02944640753828033
GZMB NK,SDHB,0.037274808,0.12155963302752294,0.08362779740871613
GZMB NK,RCC2,0.011710912,0.0963302752293578,0.0812720848056537
GZMB NK,IFFO2,0.0005657971,0.12844036697247707,0.12838633686690223
GZMB NK,UBR4,0.07826093,0.17660550458715596,0.12956419316843346
GZMB NK,EMC1,0.0037522092,0.05733944954128441,0.04711425206124853
GZMB NK,MRTO4,0.023675784,0.045871559633027525,0.02944640753828033
GZMB NK,AKR7A2,-0.023112535,0.15825688073394495,0.15429917550058891
GZMB NK,CAPZB,-0.15235996,0.573394495412844,0.5971731448763251
GZMB NK,MICOS10,0.04891181,0.2018348623853211,0.160188457008245
GZMB NK,OTUD3,0.02787517,0.0389908256880734,0.024734982332155476
GZMB NK,MUL1,0.006543912,0.06192660550458716,0.05418138987043581
GZMB NK,PINK1,-0.023614809,0.05504587155963303,0.06007067137809187
GZMB NK,DDOST,-0.10652739,0.39908256880733944,0.42402826855123676
GZMB NK,HP1BP3,0.14467853,0.4105504587155963,0.3321554770318021
GZMB NK,EIF4G3,0.06656125,0.21788990825688073,0.16607773851590105
GZMB NK,ECE1,0.04274506,0.07568807339449542,0.045936395759717315
GZMB NK,USP48,0.033949688,0.12155963302752294,0.10365135453474676
GZMB NK,LINC00339,0.0028365254,0.05733944954128441,0.04946996466431095
