names,scores,logfoldchanges,pvals,pvals_adj
PCBP2,8.934775,0.37210953,4.0800572039488464e-19,4.013426053927523e-17
NFIC,8.916852,0.49625883,4.797303512081443e-19,4.702045227289575e-17
RNASEH2A,8.904653,0.5106233,5.355343507185938e-19,5.2116449661034396e-17
SYNC,8.904249,0.5464522,5.374846695176265e-19,5.212076515116671e-17
CD47,8.894504,0.49278918,5.868105939729839e-19,5.670290637026579e-17
INAFM1,8.892845,0.6079525,5.95635657041635e-19,5.735300238542447e-17
CD96,8.890168,0.6279965,6.101645205392897e-19,5.854582097778041e-17
TMPO-AS1,8.871292,0.62716395,7.230178034781532e-19,6.913162536333418e-17
PAG1,8.869758,0.855794,7.330517945740901e-19,6.984680966697934e-17
H3F3B,8.855946,0.2865144,8.297747295111467e-19,7.878826303198547e-17
TMEM107,8.849403,0.58455396,8.798844532292263e-19,8.325716352251357e-17
HMGXB4,8.840184,0.6663425,9.556118989091964e-19,9.01109068536927e-17
HMGA1,8.832521,0.39517754,1.0234198625097088e-18,9.617333182196047e-17
PXMP2,8.763874,0.4764265,1.886521840210408e-18,1.7667406247395142e-16
SCMH1,8.730749,0.6291004,2.5299089164233985e-18,2.353159497568512e-16
PARP2,8.725787,0.82029945,2.643364749072477e-18,2.4503543195978294e-16
PAQR4,8.715492,0.6018608,2.8949899355610286e-18,2.6745403641166176e-16
CDCA8,8.708737,0.50068754,3.0727951978360888e-18,2.8292477266001915e-16
ATG16L2,8.704681,0.46960145,3.1846721723351965e-18,2.922417624989204e-16
NUCKS1,8.702318,0.4129587,3.2517275220307722e-18,2.973971264797776e-16
PBRM1,8.701018,0.49362358,3.289183924355519e-18,2.998200786514201e-16
LMNB2,8.700055,0.5677683,3.3172279897135663e-18,3.013718159691269e-16
BUB1B,8.697669,0.73351496,3.3877063987004953e-18,3.067556926452442e-16
HIST1H3I,8.615221,2.0078886,6.980699320475201e-18,6.258826348121799e-16
PLCB1,8.613607,0.65096307,7.079672969723633e-18,6.326821471570668e-16
