PAC,gene,log2FC,pval_adj,score
FPAC_1,HYAL3,0.79054266,3.653095791568892e-07,5.491282
FPAC_1,CLTCL1,1.5335493,3.7466940914724903e-07,5.486517
FPAC_1,C2CD4B,2.977053,3.8945815488138254e-07,5.4793167
FPAC_1,FASN,0.58005226,4.5466084189678846e-07,5.450561
FPAC_1,ANKRD27,0.565995,4.7274185172247694e-07,5.443386
FPAC_1,TMEM94,0.6223054,5.437115616821458e-07,5.4172497
FPAC_1,RAB27A,0.53166306,5.880821066467212e-07,5.40232
FPAC_1,UQCRQ,0.2433345,5.905848559487094e-07,5.4013824
FPAC_1,MLC1,0.45398796,5.959309515997042e-07,5.399473
FPAC_1,IRX3,0.9900704,5.998448179600248e-07,5.3981233
FPAC_1,TXNIP,0.15393683,6.593846279483015e-07,5.3803544
FPAC_1,COX6C,0.12897892,6.859613398975318e-07,5.3730035
FPAC_1,SNHG15,0.30261105,7.050977963733115e-07,5.367633
FPAC_1,RABAC1,0.17301281,7.433781259926088e-07,5.357329
FPAC_1,CEBPA,0.25732908,7.963677329937577e-07,5.344056
FPAC_1,TOMM6,0.09105786,8.025909717874892e-07,5.3425293
FPAC_1,NT5DC2,0.9103964,8.790143687636721e-07,5.3251524
FPAC_1,DGKZ,0.21674104,9.320117887033467e-07,5.3137484
FPAC_1,SMARCD3,2.2027469,9.339239835432747e-07,5.313259
FPAC_1,N4BP2L1,0.47553942,9.712048018632476e-07,5.305663
FPAC_1,SCCPDH,0.18242434,1.0659527824589155e-06,5.28716
FPAC_1,FGFRL1,1.1450273,1.148693734984034e-06,5.2724876
FPAC_1,TNRC18,0.22943583,1.3945614970355099e-06,5.234612
FPAC_1,LTBP1,2.373376,1.4159702549250059e-06,5.231683
FPAC_1,ZNF385C,1.4470379,1.418904396243986e-06,5.2312436
FPAC_1,S100P,2.8585434,1.436929255130869e-06,5.2288527
