bin,x,y,n_cells
126,-29.7149,-8.6394,13
127,-29.7149,-8.0393,5
128,-29.7149,-7.4391,5
129,-29.7149,-6.8390,15
130,-29.7149,-6.2389,3
131,-29.7149,-5.6387,1
132,-29.7149,-5.0386,1
133,-29.7149,2.7631,1
134,-29.7149,7.5642,7
135,-29.7149,8.1643,3
136,-29.7149,8.7645,5
137,-29.7149,9.3646,8
138,-29.7149,9.9647,9
139,-29.1309,-19.4418,1
140,-29.1309,-18.8416,2
141,-29.1309,-17.6414,1
142,-29.1309,-12.2402,2
143,-29.1309,-10.4398,4
144,-29.1309,-9.8396,6
145,-29.1309,-9.2395,12
146,-29.1309,-8.6394,5
147,-29.1309,-8.0393,2
148,-29.1309,-7.4391,13
149,-29.1309,-6.8390,28
150,-29.1309,-6.2389,11
151,-29.1309,-5.6387,1
152,-29.1309,-5.0386,6
153,-29.1309,-4.4385,1
154,-29.1309,-3.8383,1
155,-29.1309,-3.2382,2
156,-29.1309,-2.6381,5
157,-29.1309,-2.0379,15
158,-29.1309,-1.4378,10
159,-29.1309,1.5629,2
160,-29.1309,2.1630,2
161,-29.1309,2.7631,1
162,-29.1309,3.3633,1
163,-29.1309,3.9634,1
164,-29.1309,6.9641,4
165,-29.1309,7.5642,5
166,-29.1309,9.3646,1
167,-29.1309,11.7651,2
168,-29.1309,12.3652,2
169,-28.5468,-18.8416,2
170,-28.5468,-18.2415,2
171,-28.5468,-12.2402,9
172,-28.5468,-11.6400,1
173,-28.5468,-10.4398,3
174,-28.5468,-9.8396,6
175,-28.5468,-9.2395,8
176,-28.5468,-8.6394,9
177,-28.5468,-8.0393,7
178,-28.5468,-7.4391,21
179,-28.5468,-6.8390,19
180,-28.5468,-6.2389,13
181,-28.5468,-5.6387,4
182,-28.5468,-5.0386,8
183,-28.5468,-4.4385,1
184,-28.5468,-3.2382,17
185,-28.5468,-2.6381,35
186,-28.5468,-2.0379,50
187,-28.5468,-1.4378,20
188,-28.5468,6.9641,1
189,-28.5468,12.9654,7
190,-28.5468,13.5655,2
191,-27.9628,-18.8416,1
192,-27.9628,-17.6414,1
193,-27.9628,-12.8403,1
194,-27.9628,-12.2402,1
195,-27.9628,-11.6400,4
196,-27.9628,-11.0399,2
197,-27.9628,-10.4398,5
198,-27.9628,-9.8396,10
199,-27.9628,-9.2395,7
200,-27.9628,-8.6394,3
201,-27.9628,-8.0393,15
202,-27.9628,-7.4391,17
203,-27.9628,-6.8390,17
204,-27.9628,-6.2389,3
205,-27.9628,-5.6387,10
206,-27.9628,-5.0386,2
207,-27.9628,-4.4385,4
208,-27.9628,-3.8383,19
209,-27.9628,-3.2382,19
210,-27.9628,-2.6381,35
211,-27.9628,-2.0379,23
212,-27.9628,-1.4378,4
213,-27.9628,14.7658,1
214,-27.9628,15.3659,5
215,-27.9628,15.9660,50
216,-27.9628,16.5662,21
217,-27.3788,-18.8416,1
218,-27.3788,-18.2415,1
219,-27.3788,-13.4404,5
220,-27.3788,-12.8403,22
221,-27.3788,-12.2402,40
222,-27.3788,-11.6400,17
