names,scores,logfoldchanges,pvals,pvals_adj
RTRAF,11.840738,0.61280197,2.4032809630356136e-32,2.3811638121439088e-30
TWISTNB,11.808825,0.91416013,3.514387260348905e-32,3.469474152400764e-30
TMEM205,11.799435,0.74825156,3.929420936485964e-32,3.86524981759515e-30
MRPL57,11.799003,0.59914905,3.9496601155074885e-32,3.871233172712107e-30
SLC25A6,11.791066,0.559426,4.3401229327174983e-32,4.2387500613604534e-30
IL18,11.784262,0.7732472,4.7052704982156274e-32,4.579015197302653e-30
ERP29,11.771245,0.57288724,5.490788876649072e-32,5.3245075397462946e-30
RSL1D1,11.760505,0.6345204,6.236033030040677e-32,6.025814814116338e-30
SOX4,11.759959,0.6497809,6.276493410089852e-32,6.043555943391447e-30
NHP2,11.748249,0.6224416,7.209704940847162e-32,6.917775133768648e-30
PLIN3,11.741812,0.64814204,7.780188668928015e-32,7.439057319598094e-30
YDJC,11.737325,0.8396502,8.204098281098753e-32,7.81704779076399e-30
CCT2,11.726807,0.64287573,9.289732836702062e-32,8.820730352515783e-30
CCT3,11.725329,0.6429855,9.453300542209098e-32,8.94498119817474e-30
GAS5,11.717678,0.64356714,1.0346953446601096e-31,9.756820308646675e-30
DDOST,11.706763,0.6053187,1.1768710951943174e-31,1.1059352910372442e-29
SNHG16,11.689308,0.70995915,1.4455899606031969e-31,1.3538048994059938e-29
RBM3,11.688549,0.5949981,1.4585761061439345e-31,1.3613045118980217e-29
PPP1R35,11.680535,0.9065777,1.6028371216802332e-31,1.4908565962403966e-29
COMMD3,11.588982,0.7464984,4.686736473353549e-31,4.344525274587327e-29
PPIF,11.562453,0.95129687,6.385795705195843e-31,5.879662267821062e-29
ITGA4,11.551347,0.64595336,7.267272789710194e-31,6.668820191523992e-29
AMD1,11.548741,0.64982295,7.4909399134454386e-31,6.851078356959163e-29
TESC,11.501271,0.9730958,1.2998652063719477e-30,1.1770236401803735e-28
AP1G2,11.5003805,0.8368145,1.3133467589822103e-30,1.185306286175826e-28
TMEM230,11.495275,0.66683626,1.3933735183143007e-30,1.2533944813099626e-28
ETS2,11.473447,0.8597118,1.7936880649145812e-30,1.6082030761689881e-28
INPP4B,11.420598,2.232971,3.299564603869026e-30,2.920061283411081e-28
STT3B,11.404172,0.6619865,3.985505686244941e-30,3.5157302740662627e-28
