names,scores,logfoldchanges,pvals,pvals_adj
HOOK3,3.8311489,0.19824027,0.00012754631525086074,0.000997677785140171
GALK2,3.8283732,0.29356316,0.00012899301213866208,0.0010085596487757731
THUMPD1,3.8283384,0.19004062,0.00012901125032610455,0.0010085596487757731
SV2A,3.8268855,0.7051513,0.00012977486702678683,0.0010142393580207236
KLF10,3.8267984,0.19403653,0.00012982072747666888,0.0010143078895934248
MCTP1,3.8245537,0.2218164,0.00013100922059341449,0.0010233013842752105
DIP2A,3.8235183,0.2251667,0.000131560849908697,0.0010272772501598258
COPA,3.8234572,0.1822578,0.00013159336675601073,0.0010272772501598258
FBXL12,3.8229702,0.3437679,0.00013185377430307045,0.001029016356190572
MOB4,3.8228657,0.17763747,0.0001319096390585186,0.0010291586275875178
CIITA,3.8220913,0.18011256,0.00013232466598328104,0.001032102200792585
RAVER2,3.821874,0.5921566,0.00013244146774517396,0.001032718670361998
MED25,3.8217173,0.2021416,0.000132525625159421,0.001033080315168052
ANKFY1,3.821491,0.33820713,0.00013264727482974374,0.0010337339348800718
ARHGAP5,3.8207078,0.4285986,0.0001330691828120941,0.0010367264595953064
GMPR,3.8202555,0.6607984,0.00013331352786364925,0.0010383343016118918
SPG7,3.8197596,0.15084533,0.0001335818532783517,0.0010401279498148648
TCF20,3.8189068,0.614793,0.00013404437457714455,0.0010434322422962128
DPF2,3.8186805,0.17212678,0.00013416733732833926,0.0010440922044908268
TMC6,3.8163922,0.22935905,0.00013541714173323483,0.0010535183948327282
SUPT4H1,3.8162532,0.17100272,0.00013549352830497863,0.0010538128626359346
OPA1,3.8149393,0.19755931,0.00013621642863183644,0.0010591340509997723
PPP4R2,3.8139734,0.14563186,0.00013675014771972018,0.0010627919147202813
IKBIP,3.8139474,0.16339378,0.00013676459986472134,0.0010627919147202813
MPPE1,3.8137908,0.21440917,0.0001368513429547594,0.001063163870579787
AATF,3.813199,0.17268826,0.00013717950703262893,0.0010651456333495076
UBA3,3.8131905,0.15951264,0.00013718433850131521,0.0010651456333495076
RNFT1,3.8129816,0.24749961,0.00013730034185118197,0.0010657437264440595
MRPL38,3.8106236,0.17746301,0.00013861664169653322,0.001075655699158172
ALG9,3.8101885,0.53989285,0.00013886079668129706,0.0010772446371763828
RNF121,3.80971,0.61075616,0.00013912983501281542,0.001079025657476021
CCNB1IP1,3.8069258,0.16178782,0.00014070491308841633,0.0010909318268545033
TRIM33,3.8063602,0.19468008,0.00014102689628848195,0.0010931183406759715
HIST1H2AM,3.8058732,1.4026278,0.00014130485356344223,0.0010949624611918082
CIAO2B,3.8054814,0.19526382,0.00014152858590618593,0.0010963854703089405
VPS33A,3.8007917,0.27761775,0.00014423446293591064,0.0011170307627996069
RTEL1,3.800461,0.46027502,0.00014442705669090797,0.0011182056320129018
DEDD,3.7990863,0.29615378,0.00014523044107853285,0.001124107455910999
AKT3,3.7978249,0.839041,0.0001459714255789172,0.0011292035654543338
SLC39A10,3.7932744,0.17179675,0.0001486737631287438,0.0011497830108932773
SMURF2,3.792996,0.30644524,0.00014884062672229913,0.0011507480289363846
M6PR,3.7912471,0.19052906,0.0001498927774999319,0.0011585550857866414
BIK,3.7909598,0.321086,0.00015006618642505781,0.001159567655829226
EPM2AIP1,3.7904465,0.22649823,0.00015037669135378116,0.001161638701062288
GPX7,3.7899506,0.18717983,0.00015067724504887685,0.0011636317263785897
DHRS13,3.7884367,0.4563172,0.00015159822660990973,0.0011702881608525336
MXD1,3.7883933,0.18816389,0.00015162476976159317,0.0011702881608525336
IL2RG,3.787523,0.19060038,0.00015215655242515927,0.0011737300656187322
TLK2,3.7852173,0.236252,0.000153574280138715,0.0011841640982526889
NVL,3.7851825,0.33709934,0.00015359577475690365,0.0011841640982526889
EIF2B2,3.7798665,0.24639371,0.00015691253763781604,0.001209053326075998
INPPL1,3.7784133,0.22099586,0.0001578307452594436,0.0012154434130849745
CYFIP1,3.778248,0.26942578,0.00015793553178575153,0.0012159079538888403
TBC1D20,3.7779088,0.26462093,0.0001581508250763506,0.0012172227589467726
PLCXD1,3.776647,0.27069974,0.00015895369931009955,0.0012230579238418633
TRIQK,3.7760553,0.36392134,0.00015933153940712993,0.0012254895738333842
ZBED3,3.776012,0.23720402,0.00015935935509952146,0.0012254895738333842
STK39,3.774872,0.3755765,0.00016008975660631078,0.0012307603272859644
RMC1,3.7745764,0.32631037,0.00016027984073109272,0.001231875358244087
VIM-AS1,3.7741673,0.22360022,0.00016054295382112642,0.0012335508893488404
SP110,3.7736976,0.174365,0.0001608457557035845,0.0012355303470421972
TNRC6A,3.7728188,0.29829416,0.00016141355050605313,0.0012395436540686687
PI4KB,3.7724185,0.24190034,0.00016167277474031343,0.0012411857658755224
KIF9,3.7699823,0.1876519,0.0001632591298417397,0.0012530126760180223
UBAP1,3.7674243,0.2515766,0.00016494055801653722,0.00126556242971948
CDK14,3.7658668,0.6702945,0.00016597225003361845,0.0012731212200334725
CHPT1,3.7655623,0.2026776,0.00016617468581295406,0.0012743165895235673
TP53BP2,3.765484,0.21143897,0.0001662267782601213,0.0012743586987107591
PDPR,3.7652752,0.22779773,0.00016636576656936275,0.0012750667748334624
FUNDC2,3.7650142,0.15442564,0.00016653965570219062,0.001276041867422837
ZNF460,3.764788,0.27004343,0.00016669049791139215,0.0012768398755980195
PRPF6,3.7606552,0.13174586,0.00016946899467163557,0.0012977594870598002
SMPD1,3.7602897,0.7520511,0.00016971675732876357,0.001299292957982186
PRCC,3.7584798,0.16862422,0.00017094880240819875,0.0013083587883164296
CEP162,3.757949,0.49647495,0.00017131171559049197,0.0013107694948342455
TLE4,3.7565656,0.22184423,0.00017226107869919955,0.0013176647435268
ZFAND6,3.7553215,0.19265804,0.00017311913272874272,0.001323857886912807
MGLL,3.7550519,0.26607463,0.00017330567384597596,0.0013245435877563049
PPCDC,3.7530766,0.32958663,0.00017467740766799914,0.001334654481723695
RAB5C,3.750623,0.18200308,0.00017639572251787643,0.0013474071027859914
SUMF2,3.750249,0.17266904,0.00017665912753882747,0.0013487124889178172
GSK3B,3.75024,0.14176145,0.0001766652576356184,0.0013487124889178172
