res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_PAC
4.0,36,572,0.24459914374550226,0.13806231542248262,0.36013986013986016,AML4090,23,FPAC_1:4%
4.0,37,472,0.27573356003772315,0.0854935078722736,0.461864406779661,AML335,16,PPAC_1:64%
4.0,38,777,0.35478472613167755,0.22599085399707058,0.25096525096525096,AML4239,16,PPAC_2:7%
4.0,39,2190,0.5122474935601792,0.13840333853813447,0.14018264840182648,AML3371,27,PPAC_1:0%
4.0,40,292,0.2804104784845108,0.1135825157487656,0.7397260273972602,AML3121,21,PPAC_1:39%
4.0,41,599,0.4282134354280006,0.15326816948882688,0.7128547579298832,AML4264,21,PPAC_1:5%
4.0,42,1304,0.5905163858785183,0.14732634389512977,0.61579754601227,AML4102,25,FPAC_1:6%
4.0,43,1154,0.952461919813884,0.06523797699458907,0.938474870017331,AML4116,11,PPAC_5:99%
4.0,44,1125,0.45404249197290936,0.076359168498785,0.38666666666666666,AML3082,24,-
4.0,45,611,0.695993613656132,0.12301319107700434,0.8477905073649754,AML882,17,-
4.0,46,1279,0.4370394166174744,0.12145075982575723,0.21344800625488664,AML882,22,-
4.0,47,1653,0.9290908637871705,0.02342928919675698,0.9352692075015124,AML4035,22,FPAC_1:0%
4.0,48,1044,0.491550912771176,0.20148260842089633,0.2998084291187739,AML3082,23,PPAC_2:3%
4.0,49,1650,0.6678907358957729,0.05648835414460117,0.5915151515151515,AML4363,27,PPAC_2:85%
4.0,50,1448,0.5418383193736784,0.08724938099414584,0.444060773480663,AML647,24,PPAC_2:69%
4.0,51,1145,0.9237492853703968,0.01957457278403657,0.9231441048034934,AML882,9,PPAC_2:1%
4.0,52,573,0.6694975288865476,0.17724342348447295,0.5218150087260035,AML4116,19,-
4.0,53,17,0.23234144722263417,0.30853267922667743,0.17647058823529413,AML1355,9,FPAC_1:6%
4.0,54,530,0.9679960108786185,0.016583777560881172,0.9754716981132076,AML4127,2,-
4.0,55,2098,0.3380036805819267,0.12537852263821916,0.17683508102955195,AML4304,29,FPAC_1:10%
4.0,56,470,0.13299699567796539,0.08364878841806314,0.13829787234042554,AML4192,28,FPAC_1:2%
4.0,57,1084,0.4874080506998163,0.038365033748584736,0.1282287822878229,AML4192,29,FPAC_1:0%
4.0,58,718,0.11563325999863575,0.07522562819903407,0.09192200557103064,AML4363,29,FPAC_1:2%
4.5,0,886,0.8761898402073015,0.03801778297555739,0.28103837471783294,0_HealthyBM2,22,PPAC_4:7%
4.5,1,980,0.7869815601799137,0.12685367191423544,0.07040816326530612,AML4035,29,PPAC_4:97%
4.5,2,31,0.3249098174482802,0.41415688123135364,1.0,AML948,1,-
4.5,3,1770,0.3130291573012739,0.09560380609202535,0.1711864406779661,AML4304,28,FPAC_1:8%
4.5,4,1110,0.8662338561134216,0.07740517498281273,0.11441441441441441,AML4304,30,PPAC_4:1%
4.5,5,1709,0.3778981618447421,0.10428673300561332,0.29081334113516677,AML1355,24,FPAC_1:62%
4.5,6,1656,0.587260072788762,0.22172169206483114,0.14070048309178743,AML4035,30,PPAC_4:1%
4.5,7,1215,0.7704567964265217,0.08176361066623958,0.10781893004115227,AML4035,29,PPAC_4:80%
4.5,8,2320,0.5717093421023257,0.13423820237310344,0.09008620689655172,AML335,30,PPAC_2:0%
4.5,9,1812,0.4589406858952792,0.0904667495831953,0.19315673289183222,AML4264,27,PPAC_1:0%
4.5,10,951,0.8462149895222275,0.021913558687885738,0.8191377497371188,AML4264,19,FPAC_2:91%
4.5,11,1010,0.449177054016079,0.1290551072856055,0.45742574257425744,AML3121,24,PPAC_2:3%
4.5,12,543,0.9024330451338205,0.07413349145765921,0.48987108655616945,0_HealthyBM2,13,-
4.5,13,402,0.676979959945782,0.14534654010048037,0.8955223880597015,AML4232,11,PPAC_3:0%
4.5,14,1159,0.8211664330902486,0.1452447776587143,0.9335634167385677,AML4116,13,PPAC_5:98%
4.5,15,1206,0.5365830290492261,0.13043668970076144,0.5041459369817579,AML3371,24,FPAC_1:5%
4.5,16,248,0.0944905961104759,0.03712308813391612,0.14516129032258066,AML3121,23,FPAC_1:13%
4.5,17,594,0.3964334393081176,0.15397757895247755,0.6683501683501684,AML4264,23,PPAC_1:7%
4.5,18,1011,0.31235596283624656,0.10913380355092292,0.2987141444114738,AML4090,25,FPAC_1:36%
4.5,19,1334,0.2577382251887187,0.07931476313854152,0.32158920539730135,AML4192,25,PPAC_3:67%
4.5,20,1755,0.4224732911108604,0.13361394552977815,0.26267806267806265,AML3492,25,FPAC_1:81%
4.5,21,1144,0.5511484313342976,0.12048485730334829,0.1853146853146853,AML3082,26,FPAC_1:5%
4.5,22,828,0.37595594215963934,0.17858588367934303,0.2572463768115942,AML4239,21,PPAC_2:10%
4.5,23,1224,0.6006168300416243,0.07765010297921798,0.553921568627451,AML3371,25,PPAC_1:64%
4.5,24,1050,0.5375214142520308,0.18208338288347561,0.2866666666666667,AML3082,22,PPAC_2:2%
4.5,25,854,0.7013178135302631,0.045923475763589953,0.3360655737704918,AML4271,26,PPAC_3:2%
4.5,26,2173,0.6372825154664981,0.1265929009901522,0.3548090197883111,AML948,23,PPAC_1:90%
4.5,27,1484,0.39799039487942833,0.1282265943826679,0.29851752021563344,AML4090,21,PPAC_1:78%
4.5,28,2525,0.816439685955741,0.08350203502786589,0.3702970297029703,AML4271,22,PPAC_2:0%
4.5,29,1090,0.6351204616127049,0.10905812995209718,0.5266055045871559,AML647,25,PPAC_2:63%
4.5,30,1211,0.4708132185490765,0.12124032533215606,0.4343517753922378,AML4226,21,PPAC_2:63%
4.5,31,1430,0.6766898047395228,0.17482144002270436,0.21748251748251748,AML4226,30,FPAC_1:0%
4.5,32,1057,0.5201790665221605,0.0772182498960254,0.12961210974456008,AML4192,29,FPAC_1:0%
